period,country,inflation
1960,United States,1.457975986
1961,United States,1.070724148
1962,United States,1.198773348
1963,United States,1.239669421
1964,United States,1.278911565
1965,United States,1.585169264
1966,United States,3.015075377
1967,United States,2.772785623
1968,United States,4.271796153
1969,United States,5.4623862
1970,United States,5.838255338
1971,United States,4.292766688
1972,United States,3.272278247
1973,United States,6.177760064
1974,United States,11.0548048
1975,United States,9.143146865
1976,United States,5.744812635
1977,United States,6.501683995
1978,United States,7.630963839
1979,United States,11.25447113
1980,United States,13.54920197
1981,United States,10.33471534
1982,United States,6.131427
1983,United States,3.212435233
1984,United States,4.300535475
1985,United States,3.545644152
1986,United States,1.898047722
1987,United States,3.664563218
1988,United States,4.077741107
1989,United States,4.82700303
1990,United States,5.39795644
1991,United States,4.234963965
1992,United States,3.028819678
1993,United States,2.951656966
1994,United States,2.607441592
1995,United States,2.805419689
1996,United States,2.9312042
1997,United States,2.337689937
1998,United States,1.552279099
1999,United States,2.188027197
2000,United States,3.376857271
2001,United States,2.826171119
2002,United States,1.586031627
2003,United States,2.270094973
2004,United States,2.677236693
2005,United States,3.392746845
2006,United States,3.225944101
2007,United States,2.852672482
2008,United States,3.839100297
2009,United States,-0.355546266
2010,United States,1.640043442
2011,United States,3.156841569
2012,United States,2.069337265
2013,United States,1.464832656
2014,United States,1.622222977
2015,United States,0.118627136
2016,United States,1.261583206
2017,United States,2.130110004
2018,United States,2.442583297
2019,United States,1.812210075
1960,China,NA
1961,China,NA
1962,China,NA
1963,China,NA
1964,China,NA
1965,China,NA
1966,China,NA
1967,China,NA
1968,China,NA
1969,China,NA
1970,China,NA
1971,China,NA
1972,China,NA
1973,China,NA
1974,China,NA
1975,China,NA
1976,China,NA
1977,China,NA
1978,China,NA
1979,China,NA
1980,China,NA
1981,China,NA
1982,China,NA
1983,China,NA
1984,China,NA
1985,China,NA
1986,China,NA
1987,China,7.233835531
1988,China,18.81181794
1989,China,18.24563836
1990,China,3.052290121
1991,China,3.556685652
1992,China,6.35398134
1993,China,14.61007864
1994,China,24.25698435
1995,China,16.79122702
1996,China,8.313153344
1997,China,2.786468497
1998,China,-0.773182346
1999,China,-1.401473808
2000,China,0.347806257
2001,China,0.719132437
2002,China,-0.7319755
2003,China,1.127601961
2004,China,3.824637624
2005,China,1.776416168
2006,China,1.649433101
2007,China,4.816765313
2008,China,5.925255289
2009,China,-0.728171334
2010,China,3.175327981
2011,China,5.553897059
2012,China,2.619526165
2013,China,2.621049027
2014,China,1.921643416
2015,China,1.437024514
2016,China,2
2017,China,1.593137255
2018,China,2.074788902
2019,China,2.899235799
