company,peer
BWXT,BWXT
LII,LII
FELE,FELE
RBC,RBC
CUO,CUO
AAON,AAON
AMSC,AMSC
LXU,LXU
TMO,TMO
HOLX,HOLX
JNJ,JNJ
BMY,BMY
PFE,PFE
BSX,BSX
AZNCF,AZNCF
MDT,MDT
RHHVF,RHHVF
MYL,MYL
LLY,LLY
AZN,AZN
BIIB,BIIB
NBIX,NBIX
BMY,BMY
PFE,PFE
AMGN,AMGN
GSK,GSK
GILD,GILD
DXC,DXC
IBM,IBM
G,G
WIT,WIT
CGEMY,CGEMY
CTSH,CTSH
NOK,NOK
SAP,SAP
INFY,INFY
ERIC,ERIC
NTDOY,NTDOY
GLUU,GLUU
TTWO,TTWO
PTE,PTE
EA,EA
MSFT,MSFT
SNE,SNE
KNMCY,KNMCY
PHG,PHG
OESX,OESX
RVLT,RVLT
HUBB,HUBB
CRM,CRM
ORCL,ORCL
NUAN,NUAN
INTU,INTU
MSFT,MSFT
SAP,SAP
ADSK,ADSK
HZO,HZO
GPC,GPC
PRTS,PRTS
ORLY,ORLY
AZO,AZO
MNRO,MNRO
NVDA,NVDA
TXN,TXN
HPQ,HPQ
INTC,INTC
MCHP,MCHP
SPWR,SPWR
DUK,DUK
SRE,SRE
D,D
ORA,ORA
EOCCY,EOCCY
NRG,NRG
ENIA,ENIA
AEP,AEP
IVZ,IVZ
GBL,GBL
BEN,BEN
PZN,PZN
WHG,WHG
AB,AB
BLK,BLK
EV,EV
WDR,WDR
LM,LM
PFG,PFG
AIZ,AIZ
AAME,AAME
CNO,CNO
UNM,UNM
BRKR,BRKR
TMO,TMO
SPMYY,SPMYY
ILMN,ILMN
PKI,PKI
NATI,NATI
AME,AME
TER,TER
GE,GE
DHR,DHR
VLO,VLO
MEOH,MEOH
AIQUY,AIQUY
INAP,INAP
LLNW,LLNW
NUAN,NUAN
T,T
IBM,IBM
VRSN,VRSN
QCOM,QCOM
EQIX,EQIX
FFIV,FFIV
DAL,DAL
LUV,LUV
HA,HA
UAL,UAL
SKYW,SKYW
JBLU,JBLU
ALGT,ALGT
AAL,AAL
PBR,PBR
GRA,GRA
HUN,HUN
BASFY,BASFY
XOM,XOM
WLK,WLK
POL,POL
DOC,DOC
ROIC,ROIC
VNO,VNO
IONS,IONS
BIIB,BIIB
VRTX,VRTX
AGIO,AGIO
REGN,REGN
XON,XON
QGEN,QGEN
RARE,RARE
GILD,GILD
XRAY,XRAY
MMM,MMM
DHR,DHR
BRC,BRC
FBHS,FBHS
CIX,CIX
SWK,SWK
NL,NL
ABT,ABT
ZTS,ZTS
MYL,MYL
MRK,MRK
GPN,GPN
PCOM,PCOM
FISV,FISV
FIS,FIS
AEE,AEE
XEL,XEL
DUK,DUK
MGEE,MGEE
ES,ES
DTE,DTE
ALE,ALE
WEC,WEC
CMS,CMS
PGR,PGR
PRU,PRU
LNC,LNC
TRV,TRV
UNM,UNM
HMN,HMN
SAFT,SAFT
ADBE,ADBE
BCOR,BCOR
AAPL,AAPL
AKAM,AKAM
EBAY,EBAY
YNDX,YNDX
FB,FB
IAC,IAC
MSFT,MSFT
BIDU,BIDU
PM,PM
IMBBY,IMBBY
VGR,VGR
XXII,XXII
BTI,BTI
OSTK,OSTK
CBS,CBS
MELI,MELI
COST,COST
GOOGL,GOOGL
EBAY,EBAY
WMT,WMT
MSFT,MSFT
XEL,XEL
LNT,LNT
DUK,DUK
OTTR,OTTR
D,D
WEC,WEC
CMS,CMS
DAL,DAL
ALK,ALK
LUV,LUV
LTM,LTM
HA,HA
UAL,UAL
SKYW,SKYW
SAVE,SAVE
JBLU,JBLU
ALGT,ALGT
XEL,XEL
DUK,DUK
EXC,EXC
D,D
PPL,PPL
SO,SO
ETR,ETR
NRG,NRG
AES,AES
BAC,BAC
V,V
COF,COF
JPM,JPM
MA,MA
C,C
DFS,DFS
AEG,AEG
AFG,AFG
PUK,PUK
ACGL,ACGL
WTM,WTM
HMN,HMN
SAFT,SAFT
CTL,CTL
DRE,DRE
TDS,TDS
CTT,CTT
CCI,CCI
RCI.B,RCI.B
PW,PW
PCH,PCH
LAND,LAND
VEOEY,VEOEY
CWT,CWT
AWR,AWR
CDZI,CDZI
WTR,WTR
YORW,YORW
MSEX,MSEX
ARTNA,ARTNA
SJW,SJW
FII,FII
PFG,PFG
RJF,RJF
TROW,TROW
SEIC,SEIC
AMG,AMG
HLF,HLF
WBA,WBA
OMI,OMI
PDCO,PDCO
OMCL,OMCL
CAH,CAH
MCK,MCK
HSIC,HSIC
CVS,CVS
EMR,EMR
BRKR,BRKR
JEHLY,JEHLY
TDY,TDY
ROP,ROP
A,A
GE,GE
ESE,ESE
DHR,DHR
BIIB,BIIB
JNJ,JNJ
ABBV,ABBV
BMY,BMY
PFE,PFE
ALXN,ALXN
RHHVF,RHHVF
GSK,GSK
GILD,GILD
OCC,OCC
MEI,MEI
BDC,BDC
RFIL,RFIL
AVX,AVX
ITT,ITT
TEL,TEL
COMM,COMM
CHK,CHK
HES,HES
XOM,XOM
MRO,MRO
CVX,CVX
OXY,OXY
COP,COP
MUR,MUR
DVN,DVN
MXIM,MXIM
TXN,TXN
ON,ON
SLAB,SLAB
SMTC,SMTC
STM,STM
MCHP,MCHP
CRUS,CRUS
PTC,PTC
RNMBY,RNMBY
SMGZY,SMGZY
A,A
CDNS,CDNS
DASTY,DASTY
SNPS,SNPS
GD,GD
ADSK,ADSK
HUM,HUM
CNC,CNC
UNH,UNH
GEHDY,GEHDY
RSNAY,RSNAY
AXS,AXS
WLTW,WLTW
PUKPF,PUKPF
ACGL,ACGL
MMC,MMC
CHK,CHK
EOG,EOG
MRO,MRO
CVX,CVX
PXD,PXD
OXY,OXY
COP,COP
DVN,DVN
NBL,NBL
GOOGL,GOOGL
BB,BB
HPQ,HPQ
IBM,IBM
NOK,NOK
MSFT,MSFT
ASYS,ASYS
ASMIY,ASMIY
LRCX,LRCX
TER,TER
SNPS,SNPS
ACLS,ACLS
KLAC,KLAC
ATEYY,ATEYY
ASML,ASML
VC,VC
GNTX,GNTX
MGA,MGA
ALV,ALV
TSN,TSN
INGR,INGR
BRFS3,BRFS3
THS,THS
MGPI,MGPI
SEB,SEB
CZZ,CZZ
BG,BG
APWC,APWC
ARNC,ARNC
KALU,KALU
WLTW,WLTW
AON,AON
BRO,BRO
MMC,MMC
PFG,PFG
MET,MET
CNO,CNO
HIG,HIG
UNM,UNM
AFL,AFL
UNH,UNH
CTL,CTL
TDS,TDS
SHEN,SHEN
DIS,DIS
USM,USM
TMUS,TMUS
VZ,VZ
AMX,AMX
DTEGY,DTEGY
CMCSA,CMCSA
ADBE,ADBE
PTC,PTC
NUAN,NUAN
AAPL,AAPL
DDD,DDD
TRMB,TRMB
ANSS,ANSS
SNPS,SNPS
FFIV,FFIV
ACN,ACN
PAYX,PAYX
INTU,INTU
BBSI,BBSI
ADS,ADS
FNF,FNF
EFX,EFX
TNET,TNET
NSP,NSP
HZO,HZO
AAP,AAP
PRTS,PRTS
ORLY,ORLY
MNRO,MNRO
ACEIY,ACEIY
UDR,UDR
IRT,IRT
ASUUY,ASUUY
EQR,EQR
QUCCF,QUCCF
ESS,ESS
MAA,MAA
HUN,HUN
MMM,MMM
ACCO,ACCO
ITPOF,ITPOF
FTK,FTK
WFTIQ,WFTIQ
OIS,OIS
SLB,SLB
SPNV,SPNV
OII,OII
NOV,NOV
NR,NR
TTI,TTI
HAL,HAL
WRK,WRK
CCK,CCK
SLGN,SLGN
TAP,TAP
NOC,NOC
PKG,PKG
SEE,SEE
BA,BA
BBT,BBT
WFC,WFC
JPM,JPM
BCS,BCS
USB,USB
C,C
TRMK,TRMK
TMO,TMO
BSX,BSX
OMI,OMI
ZBH,ZBH
BDX,BDX
HALO,HALO
CAH,CAH
MDT,MDT
SYK,SYK
ICUI,ICUI
FCBC,FCBC
UBSI,UBSI
BKU,BKU
PNC,PNC
FHN,FHN
CHCO,CHCO
STI,STI
SNV,SNV
HBAN,HBAN
HBIO,HBIO
TMO,TMO
HOLX,HOLX
VAR,VAR
XRAY,XRAY
RMD,RMD
ISRG,ISRG
BAX,BAX
BIO,BIO
TFX,TFX
SHLDQ,SHLDQ
VOXX,VOXX
AAPL,AAPL
GME,GME
AAN,AAN
CONN,CONN
SNE,SNE
HGGGQ,HGGGQ
AMZN,AMZN
SGMO,SGMO
JNJ,JNJ
SNY,SNY
ABBV,ABBV
PFE,PFE
BIO,BIO
ACOR,ACOR
AMGN,AMGN
GILD,GILD
IVZ,IVZ
BAC,BAC
AB,AB
WETF,WETF
LM,LM
AMG,AMG
BCOR,BCOR
INTU,INTU
CBZ,CBZ
WU,WU
ADP,ADP
PRGX,PRGX
MGI,MGI
LMT,LMT
ERJ,ERJ
RTN,RTN
UTX,UTX
SPR,SPR
NOC,NOC
HON,HON
GE,GE
GD,GD
TXT,TXT
MOD,MOD
OSK,OSK
VC,VC
NAV,NAV
LEA,LEA
MGA,MGA
DAN,DAN
HON,HON
TEN,TEN
CMI,CMI
CBL,CBL
DLR,DLR
VNO,VNO
TCO,TCO
ANGO,ANGO
EW,EW
MDT,MDT
SYK,SYK
CNMD,CNMD
MMSI,MMSI
TFX,TFX
PKIN,PKIN
PIAIF,PIAIF
PEAB4,PEAB4
POFNF,POFNF
LLY,LLY
AZN,AZN
JNJ,JNJ
SNY,SNY
ABBV,ABBV
PFE,PFE
NVS,NVS
AMGN,AMGN
MRK,MRK
CHK,CHK
EOG,EOG
MRO,MRO
PXD,PXD
OXY,OXY
COP,COP
QEP,QEP
BHP,BHP
COR,COR
QTS,QTS
CONE,CONE
COF,COF
ZION,ZION
TFSL,TFSL
STI,STI
CBS,CBS
AMCX,AMCX
VIAB,VIAB
DIS,DIS
CMCSA,CMCSA
CBS,CBS
AMCX,AMCX
VIAB,VIAB
DIS,DIS
CMCSA,CMCSA
CHTR,CHTR
NFLX,NFLX
DIS,DIS
AMX,AMX
SATS,SATS
GSAT,GSAT
CMCSA,CMCSA
VSAT,VSAT
COST,COST
FIVE,FIVE
BIG,BIG
DLTR,DLTR
WMT,WMT
TGT,TGT
FREDQ,FREDQ
DG,DG
WMMVY,WMMVY
FIVE,FIVE
BIG,BIG
TGT,TGT
