NAICS#,Kind of Business,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993
4411, Car dealers,19.9,18.5,19.3,19.5,17.9,18.4,18.6,16.2,16.8,11.4,13.8,15.1,14.7,14,15.1,15.7,16,12.4,15.9,17.1,16.3,17.3,17.9,19.1,19.1,18.4
442,   Furniture,49.1,48.6,48.2,47.8,47.7,47.3,46.8,46.1,45.9,44.6,44.2,46,46.5,46.8,48,46.5,46,44.6,45,44.2,43.3,42.5,42.3,41.9,42.9,42.2
443,   Electronics,31.4,32.5,31.1,30.8,31,30.9,30.7,26.2,30,28.1,26.7,27.8,27.4,28,28.8,27.9,27.6,26.7,28,27.4,26.9,26.3,26.2,28.1,30.4,30.7
444,   Build mat. & garden ,34.7,34.7,34.4,34.3,34,34.3,33.6,33.8,34.3,32.5,32,33.7,33.1,33,32.8,31.7,30.7,30.5,29.9,28.1,28,26.9,27.8,28,28.6,28.3
445,   Food & bev.,27.3,27.7,27.6,27.7,27.3,27.5,27.8,28.3,28.5,28.5,29,29.2,29.2,29,29.3,29,28.8,28.6,27.1,27.5,26.7,26,26,25.9,25.1,24.9
4451,   Grocery stores,26.6,27,26.8,26.9,26.6,26.8,27.1,27.7,28,28,28.6,28.9,28.9,28.6,28.9,28.7,28.5,28.2,26.6,26.9,26,25.4,25.4,25.3,24.5,24.4
4453,  Liquor stores,28.8,29.1,29.4,29.2,28.6,29.1,28.3,27.9,28,27.5,27.5,27.6,27.5,27.8,27.9,27,26.1,26.3,27,27.2,28.6,26.6,28,27.4,26.7,24.3
446,"   Health, personal care ",29.9,30.4,31,31.7,31.5,32,31.7,30.6,31,30.3,29.8,30.1,30.9,31,31.4,30.6,30.1,29.9,30.1,30,31.2,31.5,30.5,29.9,30.6,30.7
44611,"   Pharmacies, drug stores",24.8,25.3,25.9,26.8,26.7,26.9,26.4,25.6,26,25.4,24.8,25,26,25.9,26.2,26.5,25.9,25.8,25.5,25.6,26.6,26.7,25.7,25.1,26.1,26.5
447,   Gas stations,16.6,16.7,16.5,14.2,11.6,11.4,10.9,11.2,12,12.8,12.7,13.4,14.3,16.1,17.4,18.3,17.8,18.8,19.2,21.3,22.1,22.1,22.5,22.8,21.5,20.8
4481,   Clothing stores,46.2,46.2,46.1,46.1,45.6,45.5,45.5,45.1,44.6,42.6,43,44.3,45.7,45.3,45.5,44.7,42.6,41.4,42.7,42.3,42,40.8,39.8,38.5,39.8,38.9
44811,   Men's clothing,50.8,48.9,48.9,49.5,50.9,51.4,50.8,52,49.7,47.5,49,49.1,50.6,50.4,53.5,52.4,47.6,45.7,46.2,44.5,44.2,44,43.8,41.9,44.5,42.3
44812,   Women's clothing,S,S,51.1,50.9,50.4,50.5,50.9,49.6,49.2,48.2,46.2,48.6,50,48.9,49.4,48.6,44.9,43.4,43.4,41.3,40.5,39.3,39,37.1,36.9,36.9
44814,   Family clothing,40.8,40.8,40.3,40.7,39.7,39.9,39,38.9,39.1,36.8,38.3,39.4,41.3,41.1,40.9,40,39.4,38.1,40.7,41.1,41.3,39.8,38.2,37,39.7,38.7
4482,   Shoe stores ,48.5,46.6,47.1,48.2,48.2,48.6,47.6,47.3,49.1,46.2,47.2,46.9,48.1,49,47.3,45.7,44.1,41.1,41.2,42.6,41.9,41.6,42.3,42.9,43.5,42.9
451,   Sporting goods,43,41.7,41.8,43.2,43.4,42.6,40.9,41,40.3,39.2,38.3,40.2,40,40,40.7,39.9,38.7,38.9,38.9,38.2,36.9,37.6,35,36.5,38.2,37.1
452,   General merchandise ,26.8,26.7,27.1,27.3,27,26.7,26.5,27.7,28,27.1,26,26.8,26.6,27.9,27.8,27,25.3,25.7,26.9,27.4,27.2,26.6,26.5,26.7,26.6,27.9
4521,   Department stores ,33.1,32.8,33.7,34.5,34,33.8,32.7,34.1,33.6,32.5,31.6,32.5,32.4,33.6,33.5,30.8,29.9,30.7,31.5,31.5,30.8,27.5,27.3,27.7,27.5,29.5
452112,      Discount dept. stores,32.1,30.7,31.4,31.5,31.7,31.2,29.9,31,30.8,30.2,29.4,29.2,29.2,29.6,31.5,27.9,25.8,27.7,27.6,27.5,27,20.9,19.7,21,20.2,22.5
45291,   Supercenters,23.4,23.1,23.3,23.4,23.1,22.3,22.1,23.2,23.9,22.7,21.6,21.9,20.9,22.1,21.1,21.3,18.4,16.6,17.2,17.2,16.6,21.1,20.7,19.1,19.6,17.1
